pair_id,reference_path,search_path,style,placement,gt_x,gt_y,pred_x,pred_y,err_px,err_nm,score,theta_est_deg,scale_est,gt_rotation_deg,gt_scale_error,search_dose_e,num_candidates,stage2_used,stage2_margin,runtime_s
pair_0000,pair_0000/reference.png,pair_0000/search.png,stress_basic,uniform,246.23190382681668,438.07696586355655,246.25435282289982,437.7411267608404,0.336588562399735,3.3004781102894505,0.8686631321907043,1.125,1.0,-2.3687428644298745,-0.01943248256612505,0.0,1,False,,4.216930833994411
pair_0001,pair_0001/reference.png,pair_0001/search.png,stress_basic,uniform,286.95372160576153,437.21601063101843,754.4475480988622,152.98022627830505,547.1201503470362,5504.324985379234,0.798916757106781,-4.125,1.0,4.456422393269788,0.0060541513391276554,0.0,2,False,0.0058114975690841675,3.693026207969524
pair_0002,pair_0002/reference.png,pair_0002/search.png,stress_basic,uniform,588.5258706216146,161.0023190979058,588.5012734042248,161.1633746623993,0.1629230430529656,1.6536389499321862,0.985011100769043,3.75,1.0175,-3.6060180467699534,0.014981625032988874,0.0,12,True,0.0310685932636261,3.7005587500170805
pair_0003,pair_0003/reference.png,pair_0003/search.png,stress_basic,uniform,494.412137828121,390.815512921739,712.962384276092,439.0959471836686,223.8195937691546,2213.8969672888115,0.9445677995681763,1.5,0.9925,-1.572914364524941,-0.010856498304521203,0.0,1,False,0.008828312158584595,4.0885638750041835
pair_0004,pair_0004/reference.png,pair_0004/search.png,stress_basic,uniform,804.6549952962018,415.6972743602559,198.53267447650433,746.633827611804,690.5818344511177,6773.315571800389,0.8481507897377014,4.125,0.975,-4.426822496760868,-0.019187121076838478,0.0,1,False,0.0020210295915603638,4.156617833999917
pair_0005,pair_0005/reference.png,pair_0005/search.png,stress_basic,uniform,733.2543541199979,381.6120409912309,79.48397121205926,478.4979038031306,660.9104205415427,6755.9476489716235,0.7663379311561584,0.0,1.0225,0.15278007487846357,0.022218358039486567,0.0,3,False,0.007278174161911011,3.713685584021732
pair_0006,pair_0006/reference.png,pair_0006/search.png,stress_basic,uniform,307.4847564832892,691.2386653840375,307.47516518458724,691.1182554364204,0.12079134280211025,1.2180657354035653,0.9861167073249817,0.75,1.0075,-0.8246251411517191,0.008404830302362878,0.0,1,False,,4.022898124996573
pair_0007,pair_0007/reference.png,pair_0007/search.png,stress_basic,uniform,391.9862115198616,138.48645432695184,790.518516484648,357.4435016140342,454.71989912167146,4614.883818385997,0.8717514872550964,0.75,1.0075,-1.0897255536619732,0.014884949460100806,0.0,1,False,0.011865347623825073,3.6027118749916553
pair_0008,pair_0008/reference.png,pair_0008/search.png,stress_basic,uniform,85.38291425251049,840.0988579079893,134.49343967344612,118.20784425735474,723.5595893198162,7060.513979810104,0.8483878970146179,0.0,0.9775,0.5094214984522005,-0.024197303991595802,0.0,1,False,2.8312206268310547e-07,3.7273038330022246
pair_0009,pair_0009/reference.png,pair_0009/search.png,stress_basic,uniform,549.6943853844755,713.0795042533837,381.6519647091627,782.9827967584133,182.00199298211686,1769.5243651849844,0.8545727729797363,-1.875,0.975,1.9931514454420864,-0.02774451191924365,0.0,1,False,,3.9200374170322903
