pair_id,style,placement,gt_x,gt_y,pred_x,pred_y,err_px,err_nm,score,theta_est_deg,scale_est,gt_rotation_deg,gt_scale_error,search_dose_e,num_candidates,stage2_used,stage2_margin,runtime_s
pair_0000,dram,deep_array,794.1180197654676,105.59412014313513,794.0286233127117,105.59689784795046,0.0894395964289446,0.885555441342937,0.7784424424171448,0.375,0.9875,-0.46100757373386564,-0.009884350220131434,198.41000471634334,1,False,,2.7624491669994313
pair_0001,finfet,deep_array,770.3269712372227,268.78322618772177,770.4079266190529,268.7523217499256,0.08665366768217782,0.8626848130548822,0.8847292065620422,1.125,1.0,-1.1329085734917843,-0.004445124909223216,251.25723830044416,4,True,0.11842866241931915,2.7491872090031393
pair_0002,dram,near_boundary,846.1008041125292,611.7758436017031,846.1569740474224,611.7277883440256,0.07392137293335908,0.741545280056307,0.941227376461029,1.125,1.0075,-0.8875075318667173,0.0031540955344784146,256.66515855495373,1,False,,2.751862874996732
pair_0003,finfet,uniform,247.2090797374624,390.73610203911045,247.1693572998047,390.6784089356661,0.0700454583717755,0.6923512610210939,0.7840675115585327,0.75,0.9875,-0.701839020602069,-0.011568662530055528,243.8953669353707,1,False,,2.7798417919984786
pair_0004,dram,uniform,167.38378642529793,585.242715740613,167.539058778435,585.3035462647676,0.1667628745184345,1.666850919498966,0.9062075614929199,0.75,1.0,-0.5252842176708542,-0.00046642616806962916,207.13831738344732,1,False,,2.7557769999984885
pair_0005,finfet,uniform,809.8359187045103,147.73681580109078,809.847872108221,147.698375120759,0.04025630093094111,0.3985455519419985,0.5982472896575928,-0.75,0.9875,0.5226268892136833,-0.009979698269606364,82.95712915343745,1,False,,2.755833082992467
pair_0006,dram,uniform,334.24573495894776,93.2007518864815,334.24017828702927,93.22102370858192,0.021019595002786075,0.21073659365407454,0.8634487390518188,0.75,1.0,-0.7600429422650377,0.002572093449669837,93.84757037927311,1,False,,2.760823958000401
pair_0007,finfet,near_boundary,107.53832791619953,593.8967347221195,107.56600445508957,593.8821487426758,0.03128484619211501,0.31288382946268134,0.7999353408813477,-0.75,1.0,0.8662912095707603,0.00011305007323390872,159.31830844551897,1,False,,2.7783488749992102
pair_0008,dram,uniform,359.49757695499545,167.11407736815065,359.44652662053704,167.12413474917412,0.052031601564498896,0.5231561998440624,0.8285255432128906,0.375,1.0075,-0.3544835488961732,0.005458575392019494,126.56218681772607,1,False,,2.7529299590096343
pair_0009,finfet,deep_array,272.7228842950632,729.2348156080276,267.57707516103983,722.5779858008027,8.413841852932334,85.12313620524478,0.9206795692443848,-1.125,1.0125,1.0685629626083415,0.011703543911729848,276.3067140355725,9,True,0.048556357622146606,2.7512901659938507
pair_0010,dram,deep_array,762.3875259505597,659.6154437063893,762.2745162695646,659.6108947768807,0.11310119697991537,1.1278770168212362,0.888012707233429,0.0,1.0,0.06534340136028234,-0.0027718123783200296,201.68310627630052,1,False,,2.757690874990658
pair_0011,finfet,near_boundary,491.8945223921723,636.2453082579917,491.7905088067055,636.2752036005259,0.10822456960827262,1.0750332881891436,0.6970967054367065,-1.125,0.9925,0.9736238256416571,-0.006664298060679217,162.94947008705577,1,False,,2.7819558330083964
pair_0012,dram,uniform,437.74703522125236,107.77174381838233,437.8018155694008,107.7135419845581,0.07992709180100234,0.7945919845902174,0.8758984804153442,-0.75,0.9925,0.8617819423518723,-0.005854001833890361,280.7879635739864,1,False,,2.75711833400419
pair_0013,finfet,uniform,757.8390325637517,906.7080342091225,757.7730136215687,906.684696123004,0.07002261770776075,0.6961790407667227,0.7934855222702026,-0.375,0.9925,0.45790188246098223,-0.005779755803725314,174.16142434331402,1,False,,2.7529514170018956
pair_0014,dram,uniform,892.5732540407179,749.6135940050829,892.4869245961308,749.5825193449855,0.09175188010537508,0.9153982795367008,0.6728673577308655,-1.5,1.0,1.5146890482996307,-0.0023111477548085732,121.0771510523985,1,False,,2.833643165999092
pair_0015,finfet,deep_array,691.3112525395093,555.924876072794,580.5832629129291,550.427484638989,110.86437209185162,1104.3077634851445,0.8522634506225586,-0.75,1.0,0.6813262713597114,-0.003911046760612429,159.69881109185945,8,False,,3.0216482499963604
pair_0016,dram,deep_array,815.1808876643756,601.1047064831581,815.1534630954266,601.1591041088104,0.060919690237653895,0.6084177198863903,0.5735635757446289,0.75,1.0,-0.5849282913064753,-0.001279032258878866,93.99022882898414,1,False,,2.8625293750083074
pair_0017,finfet,deep_array,539.8712378745502,423.6460816403738,601.6684126406908,424.27812553942204,61.80040686409155,619.2175602102076,0.8549423813819885,0.75,1.0,-0.7080794169338183,0.001963565663832585,244.33960432424465,7,True,0.04458437114953995,2.8180220830108738
pair_0018,dram,uniform,96.87913145766657,847.0204434696881,566.4856464201584,616.4687314033508,523.1485169929629,5250.917345903402,0.8193656802177429,1.5,1.0,-1.2564059053434178,0.0037144664168156463,147.8832150108298,94,False,0.015108369290828705,2.8178940420039
pair_0019,finfet,uniform,693.2383022673785,883.0004269078986,693.3732141852379,882.9796639978886,0.13650027110813165,1.384567909051049,0.8524228930473328,0.0,1.0125,-0.0201406293167222,0.014333449897863924,202.0159073875101,1,False,,2.785771916998783
pair_0020,dram,uniform,379.337403659157,641.6481631783121,379.4759425986558,641.6004529371858,0.14652407606186477,1.4750335267371228,0.9311866164207458,-1.5,1.0075,1.2730177654546857,0.006683383633376896,260.00310598508673,1,False,,2.810873416994582
pair_0021,finfet,uniform,521.0636323048434,818.0489974510164,520.9169979691505,818.0287678837776,0.1480231866794889,1.4779832845166232,0.6980136632919312,-0.75,1.0,0.6486045375348524,-0.0015190743617314502,82.07995250147896,1,False,,2.780411041007028
pair_0022,dram,uniform,155.05225900871338,446.18389766059073,154.89461478590965,446.0556298196316,0.20323469193942592,2.0040213470359003,0.7599704265594482,-0.75,0.9875,0.80603475835445,-0.013937370676262995,111.52340693700839,1,False,,2.804933792009251
pair_0023,finfet,deep_array,531.2306312877365,702.9152335271671,531.2588240653276,702.8965449929237,0.0338244589087072,0.333952133365326,0.7618429660797119,0.375,0.9875,-0.32736495526478115,-0.01269038991379415,159.47086160413875,4,False,,2.7649007080035517
